log_adj,smiles,group
1.10374736,Clc1cc(ccc1O)[C@@H]1NC(=O)NC(CC)=C1C(OCC1CCCCC1)=O,training
1.375112221,s1cccc1C1=NN(CCC(C)C)C(=O)C(=C1O)C=1Nc2c(S(=O)(=O)N=1)cc(OC(C(=O)N)C)cc2,training
1.281446528,O=C1N(c2c(N1Cc1nc3c(n1CCC(O)(C)C)cccc3)cncc2)C1CC1,training
-0.003122594,s1cncc1COC(=O)N[C@H]([C@@H](O)C[C@@H](NC(=O)[C@@H](NC(=O)N(Cc1nc(sc1)C(C)C)C)C(C)C)Cc1ccccc1)Cc1ccccc1,training
0.897978176,S(=O)(=O)(NC(=O)[C@]12NC(=O)[C@H]3N(C[C@H](Oc4cc(OC(C)C)nc5c4ccc(OC)c5C)C3)C(=O)[C@@H](NC(=O)c3nn(nc3)C)CCCCC\C=C/[C@@H]1C2)C1CC1,training
0.622368709,Fc1cc(N2CCC(CC2)C(=O)Nc2cc3NC(=O)COc3cc2)cc(F)c1,training
1.20715078,COC1=CC=C(CCN(C)CCCC(C#N)(C(C)C)C2=CC=C(OC)C(OC)=C2)C=C1OC,training
0.927021236,FC(F)(F)c1oc(nc1C(=O)Nc1ccc(nc1)N(CCOC)C)-c1ccccc1,training
0.49666078,Clc1cc(CN2CCN(S(=O)(=O)c3ccccc3)CC2)c(OCC(O)=O)cc1,training
0.553461894,Brc1cc2nc([nH]c2nc1)CCc1nccc(OC)c1,training
0.17627636,Clc1cc(ccc1Cl)C(=O)N[C@H]1[C@@H]2Oc3c4[C@@]25CCN([C@H](Cc4ccc3O)[C@]5(O)CC1)CC1CC1,training
-0.128651101,Clc1ccc(cc1)C(NC(=O)c1ccc(cc1)CN)C=1NC(=O)c2cc(ccc2N=1)-c1cn[nH]c1,training
0.758585771,Clc1cc2c(cc1NC(=O)C1CNCC1c1ncccc1)C=CNC2=O,training
1.827378206,Fc1cc(ccc1F)C1(Oc2c(N(CCCOC)C1=O)cc(cc2)-c1c(nc(nc1N)N)CC)C,training
1.663600884,O1CCC(CC1)CCN1c2c(N(C(=O)N[C@@H](C(C)(C)C)C(=O)N)C1=O)cccc2,training
1.955226764,Clc1cc(Cl)ccc1CNC(=O)N1CCC(Oc2ccccc2S(=O)(=O)C)CC1,training
1.244449686,[nH]1c2ncc3nnn(c3c2cc1)C1CCN(CC1)Cc1ccccc1,training
1.538150132,Fc1c2c([nH]cc2C(=O)C(=O)N2CCN(CC2)C(=O)c2ccccc2)c(cc1)-c1ocnn1,training
0.704670799,S(=O)(=O)(NC(=O)C1CCN(CC1)c1nc(C)c(cc1C#N)C(OCC)=O)Cc1ccccc1,training
3.818506033,CCCCCCCCCCCC(=O)OC,training
2.699404761,Clc1ccc(cc1)CCN(C(=O)c1c2c(ccc1)cncc2)C1CCC2(OCCO2)CC1,training
0.281136737,Fc1cc(Nc2nc(NC)c(cn2)C(F)(F)F)c(OC)cc1C(=O)N1CCOCC1,training
0.700259039,Clc1cc(OC2CCN(CC2)CC2CCN(CC2)[C@@H](Cc2ccc(cc2)C#N)C(O)=O)ccc1Cl,training
1.776298357,S(=O)(=O)(Nc1cc(ccc1)CO)c1ccc(cc1)-c1ccc(cc1)C,training
3.13042136,CCCCOC(=O)C1=CC=CC=C1,training
0.673268975,O1CCOCCOc2c(OCC1)cc1c(ncnc1Nc1cc(ccc1)C#C)c2,training
2.128548605,O=C(NCCC(c1ccccc1)c1ccccc1)c1ccncc1,training
0.82898109,Fc1cc(F)ccc1CNC(=O)C1=CN2C(=C(O)C1=O)C(=O)N1[C@H](OC[C@@H]1C)C2,training
1.127436887,Fc1cc(C)c(OC2CCN(CC2)CC2CCN(CC2)[C@@](Cc2ccc(F)cc2)(C(O)=O)C)cc1,training
2.605189973,O(C)c1cc(N2CCN(CC2)C2CCN(CC2)c2c3nc(ccc3ccc2)C)c2ncccc2c1,training
0.171105047,[nH]1c2ncc3ncn(c3c2cc1)C1CCC(N)CC1,training
0.538837281,S(=O)(=O)(C)C1(CC1)c1nc(nc(N2CCOCC2)c1)-c1c2c([nH]nc2)ccc1,training
1.090904157,O1[C@@H](C\C=C\C=C\[C@H](O)[C@H](C)[C@@H](O)[C@@H](CCC(=O)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc2cc(O)ccc2)C(=O)N2NC(CCC2)C1=O)/C(=C/C=C/C(=O)N(OC)C)/C,training
1.262839639,S(=O)(=O)(C)c1ccc(cc1)C(=O)NCCC(c1ccc(F)cc1)c1ccc(F)cc1,training
1.015872055,o1nc(cc1CO)[C@H](O)[C@](OCc1ccc(cc1)-c1ccccc1)(C(=O)NO)C,training
